阿,,,
啊,,,
癌,,,
矮,159,,
爱,116,,
碍,,,
安,203,,
岸,,,
按,,,
案,,,
暗,,,
奥,,,
澳,,,
八,38,,
巴,,,
把,,,
爸,143,,
罢,,,
吧,209,,
白,67,,
百,114,,
摆,,,
败,,,
拜,,,
班,290,,
般,,,
搬,,,
板,,,
版,,,
办,352,,
半,323,,
伴,,,
帮,,,
包,73,,
胞,,,
薄,,,
饱,,,
宝,,,
保,,,
报,422,,
抱,,,
暴,,,
爆,,,
杯,343,,
背,,,
北,188,,
备,,,
倍,,,
被,,,
贝,202,,
本,96,,
鼻,,,
比,144,,
彼,,,
笔,209,,
币,,,
必,,,
毕,448,,
闭,,,
避,,,
壁,,,
边,244,,
编,,,
变,,,
便,,,
遍,,,
辩,,,
标,,,
表,86,,
别,433,,
宾,,,
冰,432,,
兵,306,,
饼,,,
并,,,
病,,,
波,,,
播,,,
伯,,,
博,,,
补,,,
捕,,,
不,74,,
布,,,
步,432,,
部,296,,
擦,,,
才,352,,
材,,,
财,,,
裁,,,
采,177,,
彩,,,
菜,,,
参,333,,
餐,,,
残,,,
藏,,,
操,,,
草,129,,
册,,,
厕,,,
侧,,,
测,,,
策,,,
层,,,
曾,,,
叉,,,
插,,,
茶,117,,
查,,,
察,,,
差,324,,
柴,,,
产,,,
长,,,
常,248,,
厂,67,,
场,177,,
唱,,,
超,,,
朝,,,
潮,,,
吵,,,
炒,,,
车,36,,
彻,,,
沉,,,
晨,,,
衬,,,
称,,,
成,187,,
诚,,,
承,,,
城,187,,
乘,,,
程,273,,
吃,75,,
池,433,,
迟,,,
持,,,
尺,,,
冲,,,
充,,,
虫,,,
重,,,
抽,,,
绸,,,
出,128,,
初,,,
除,434,,
厨,,,
础,,,
楚,,,
处,,,
触,,,
纯,,,
川,386,,
穿,,,
传,,,
船,,,
创,,,
窗,,,
床,324,,
吹,,,
春,,,
纯,,,
词,407,,
此,,,
次,394,,
刺,,,
聪,,,
从,208,,
粗,,,
促,,,
醋,,,
村,297,,
存,,,
寸,,,
措,,,
错,414,,
打,306,,
达,352,,
答,353,,
大,35,262,
呆,394,,
代,370,,
带,,,
待,,,
袋,,,
戴,,,
旦,,,
担,,,
单,,,
但,,,
蛋,,,
当,264,,
党,,,
刀,67,,
导,,,
岛,296,,
倒,,,
到,352,,
道,219,,
得,,,
德,415,,
地,93,,
的,93,,
灯,,,
登,,,
等,407,,
低,,,
敌,,,
抵,,,
底,,,
弟,143,,
帝,360,,
第,,,
典,407,,
点,323,,
电,247,,
店,208,,
殿,,,
调,,,
掉,,,
丁,86,,
顶,,,
订,,,
定,360,,
丢,,,
东,386,,
冬,406,,
懂,421,,
动,306,,
都,188,159,du1
斗,,,
豆,187,,
督,,,
毒,,,
独,149,,
读,353,,
肚,,,
度,394,,
端,,,
短,159,,
段,,,
锻,,,
断,,,
堆,,,
队,,,
对,171,,
兑,,,
吨,,,
盾,,,
顿,,,
多,144,,
夺,,,
朵,,,
俄,415,,
额,,,
恶,,,
饿,,,
恩,,,
儿,43,,
而,,,
耳,,,
尔,,,
二,38,,
发,159,,
乏,,,
罚,,,
法,104,,
翻,455,,
凡,,,
烦,,,
繁,,,
反,331,,
返,,,
犯,,,
饭,331,,
泛,,,
范,,,
方,203,,
防,,,
房,297,,
访,393,,
纺,,,
放,,,
飞,177,,
非,415,,
啡,,,
肥,,,
废,,,
"费 ",,,
"分 ",323,,
纷,,,
氛,,,
粉,,,
份,,,
奋,,,
丰,,,
风,238,,
封,,,
佛,386,,
否,,,
夫,264,,
服,,,
浮,,,
符,,,
幅,,,
福,374,,
府,,,
辅,,,
腐,,,
父,143,,
付,,,
负,,,
妇,,,
附,,,
复,,,
副,,,
傅,,,
富,,,
该,,,
改,,,
盖,,,
概,,,
干,343,,
杆,,,
肝,,,
赶,,,
敢,,,
感,,,
刚,422,,
钢,,,
岗,,,
港,,,
高,159,,
搞,,,
稿,,,
告,,,
哥,143,,
割,,,
歌,,,
革,,,
格,,,
隔,,,
个,114,,
各,,,
给,274,,
根,,,
跟,296,,
更,307,,
工,67,,
公,220,,
功,456,,
攻,,,
供,,,
宫,387,,
巩,,,
共,149,,
贡,,,
狗,422,,
构,,,
购,,,
够,,,
估,,,
姑,,,
古,370,,
谷,,,
股,,,
骨,432,,
鼓,,,
固,,,
故,359,,
顾,,,
雇,,,
瓜,,,
刮,,,
挂,,,
拐,,,
怪,149,,
"关 ",324,,
官,448,,
"观 ",387,,
冠,,,
馆,,,
管,456,,
惯,,,
光,,,
广,,,
逛,,,
"归 ",,,
规,,,
鬼,,,
贵,202,,
滚,,,
国,,,
果,,,
过,171,,
哈,,,
还,149,,
孩,142,,
海,343,,
害,,,
含,,,
函,,,
寒,393,,
喊,,,
汉,274,,
汗,,,
航,,,
号,,,
毫,,,
"好 ",91,245,hao4
喝,,,
合,274,,
何,,,
和,93,,
河,,,
荷,,,
核,,,
贺,,,
黑,,,
很,74,,
恨,,,
横,,,
红,230,,
洪,,,
后,332,,
厚,,,
候,333,,
乎,,,
呼,,,
忽,,,
胡,160,,
壶,,,
湖,,,
虎,415,,
互,,,
户,265,,
护,265,,
花,231,,
划,,,
华,301,,
滑,432,,
化,231,,
画,116,,
话,196,,
怀,,,
坏,,,
欢,247,,
环,,,
换,,,
皇,,,
黄,,,
灰,,,
挥,,,
恢,,,
辉,,,
回,177,,
毁,,,
"汇 ",,,
会,273,,
婚,260,,
混,,,
活,,,
火,45,,
伙,,,
或,282,,
货,,,
获,,,
击,,,
机,91,,
鸡,93,,
积,,,
基,,,
激,,,
及,230,,
吉,,,
级,230,,
极,,,
即,,,
急,,,
集,,,
籍,,,
几,62,,
己,238,,
挤,,,
计,,,
记,264,,
纪,,,
技,,,
际,449,,
季,406,,
济,448,,
既,,,
继,,,
寄,296,,
绩,,,
加,333,,
家,142,,
甲,,,
假,393,,
价,,,
架,,,
尖,,,
坚,,,
间,177,,
艰,,,
监,,,
煎,,,
兼,,,
检,,,
减,,,
简,,,
见,237,,
件,,,
建,,,
荐,,,
健,,,
渐,,,
键,,,
践,,,
江,,,
"将 ",,,
讲,359,,
奖,,,
降,,,
酱,,,
交,238,,
郊,,,
胶,,,
教,352,,
角,456,,
饺,,,
脚,,,
叫,150,,
觉,456,,
较,266,,
阶,,,
接,,,
揭,,,
街,282,,
节,353,,
杰,,,
结,260,,
姐,144,,
解,,,
介,230,,
届,,,
界,,,
借,,,
巾,67,,
斤,248,,
今,62,,
金,178,,
津,,,
禁,,,
仅,,,
尽,,,
紧,,,
进,317,,
近,220,,
劲,,,
京,188,,
经,353,,
惊,,,
睛,160,,
精,,,
"井 ",59,,
景,238,,
警,,,
径,,,
"净 ",,,
竟,,,
敬,,,
静,,,
境,,,
镜,,,
究,,,
九,38,,
久,449,,
酒,,,
旧,177,,
救,,,
就,359,,
居,,,
局,,,
举,,,
巨,,,
句,422,,
拒,,,
具,290,,
剧,,,
据,,,
距,,,
聚,,,
卷,,,
决,,,
绝,,,
军,,,
均,,,
君,,,
咖,,,
卡,,,
开,291,,
刊,,,
看,208,,
康,,,
抗,,,
考,421,,
烤,,,
靠,,,
科,,,
可,143,,
渴,,,
克,,,
刻,324,,
客,334,,
课,113,,
肯,,,
空,331,,
恐,,,
孔,,,
控,,,
口,35,,
哭,,,
苦,,,
库,,,
裤,,,
夸,,,
跨,,,
块,,,
快,291,,
筷,291,,
宽,,,
款,,,
况,,,
矿,,,
亏,,,
困,422,,
扩,,,
括,,,
拉,,,
啦,,,
辣,,,
来,96,,
兰,231,,
蓝,,,
篮,,,
览,,,
浪,,,
劳,,,
老,73,,
乐,248,,
"了 ",121,,
雷,,,
类,,,
累,394,,
冷,394,,
离,219,,
黎,,,
礼,331,,
李,97,,
里,220,,
理,369,,
力,67,,
历,369,,
励,,,
立,,,
丽,160,,
利,415,,
例,,,
俩,393,,
连,,,
联,,,
脸,,,
练,,,
炼,,,
恋,,,
良,,,
凉,,,
梁,,,
量,,,
粮,,,
两,121,,
亮,,,
辆,163,,
谅,,,
疗,,,
聊,,,
料,,,
列,,,
烈,,,
裂,,,
邻,,,
林,238,,
临,,,
令,,,
灵,,,
零,,,
龄,,,
领,,,
另,,,
留,381,,
流,415,,
六,38,,
龙,219,,
楼,237,,
露,,,
炉,,,
陆,,,
"录 ",,,
路,282,,
旅,387,,
律,,,
虑,,,
率,,,
绿,,,
乱,,,
略,,,
轮,,,
论,,,
罗,,,
洛,,,
落,,,
妈,91,,
麻,,,
马,35,,
码,,,
骂,,,
"吗 ",93,,
买,75,,
麦,,,
卖,97,,
满,,,
慢,,,
忙,265,,
猫,129,,
毛,209,,
矛,,,
冒,,,
贸,449,,
帽,160,,
么,113,,
没,117,,
媒,,,
每,324,,
美,96,,
妹,144,,
门,45,,
们,104,,
盟,,,
梦,,,
迷,,,
米,45,,
秘,,,
密,,,
棉,,,
免,,,
面,343,,
苗,117,,
描,,,
妙,,,
灭,,,
民,301,,
敏,,,
名,202,,
明,62,,
命,,,
模,,,
磨,,,
末,324,,
墨,,,
莫,,,
谋,,,
某,,,
母,143,,
亩,,,
姆,,,
木,45,,
目,,,
幕,,,
拿,,,
哪,171,,
那,170,,
纳,,,
乃,,,
奶,,,
耐,,,
男,96,,
南,386,,
难,104,,
脑,248,,
闹,,,
呢,243,,
内,,,
能,359,,
尼,,,
泥,,,
你,113,,
拟,,,
年,62,,
念,,,
娘,,,
鸟,43,,
您,177,,
宁,,,
牛,43,,
农,297,,
弄,,,
女,43,,
努,,,
怒,,,
暖,,,
诺,,,
欧,,,
爬,,,
怕,128,,
拍,,,
排,,,
牌,,,
派,,,
乓,307,,
盘,,,
判,,,
旁,,,
胖,,,
炮,,,
跑,432,,
培,,,
配,,,
朋,103,,
碰,,,
批,,,
皮,,,
啤,,,
偏,,,
篇,,,
片,274,,
骗,,,
漂,,,
票,343,,
拼,,,
贫,,,
品,,,
聘,,,
乒,307,,
平,414,,
评,414,,
苹,,,
凭,,,
"瓶 ",,,
坡,,,
迫,,,
破,,,
普,,,
铺,,,
七,38,,
妻,,,
期,324,,
齐,448,,
其,297,,
"奇 ",149,,
骑,291,,
旗,433,,
企,,,
"启 ",,,
起,296,,
气,65,,
弃,,,
"汽 ",117,,
器,,,
恰,,,
千,343,,
铅,,,
签,,,
前,338,,
钱,387,,
歉,,,
枪,,,
强,,,
墙,,,
侨,,,
桥,,,
巧,,,
且,,,
切,,,
侵,,,
亲,142,,
琴,,,
青,128,,
轻,159,,
倾,,,
清,,,
情,,,
晴,128,,
请,128,,
庆,,,
穷,,,
秋,406,,
求,,,
球,306,,
区,296,,
曲,,,
取,,,
去,75,,
趋,,,
趣,,,
圈,,,
权,,,
全,,,
拳,,,
劝,,,
缺,,,
却,,,
确,,,
裙,,,
群,,,
然,,,
染,,,
让,360,,
扰,,,
绕,,,
热,394,,
人,35,,
仁,,,
认,202,,
任,,,
扔,,,
仍,,,
日,45,,
荣,,,
容,455,,
肉,73,,
如,387,,
入,,,
软,,,
若,,,
弱,,,
塞,,,
赛,,,
三,38,,
伞,,,
散,,,
丧,,,
扫,,,
色,,,
杀,,,
"沙 ",,,
厦,,,
山,65,,
衫,,,
扇,,,
善,,,
伤,,,
"商 ",,,
赏,,,
上,113,,
尚,,,
烧,,,
稍,,,
勺,67,,
少,220,,
绍,230,,
舌,,,
蛇,,,
舍,,,
设,,,
社,370,,
射,,,
谁,104,,
申,,,
伸,,,
"身 ",150,,
深,,,
神,,,
审,,,
甚,,,
升,,,
生,96,,
声,,,
省,386,,
圣,,,
"胜 ",,,
盛,,,
剩,,,
失,,,
师,114,,
诗,407,,
"施 ",,,
湿,,,
十,38,,
石,65,,
时,333,,
识,202,,
实,449,,
拾,,,
食,,,
史,370,,
使,,,
始,360,,
士,247,,
示,,,
世,,,
市,187,,
式,,,
事,,,
势,,,
饰,,,
试,421,,
视,387,,
是,93,,
适,,,
室,352,,
释,,,
匙,,,
收,,,
手,86,,
守,,,
首,187,,
寿,,,
受,,,
授,,,
售,,,
兽,,,
瘦,,,
书,36,,
叔,,,
殊,,,
舒,,,
输,,,
熟,,,
暑,393,,
属,,,
数,361,,
术,369,,
束,,,
述,,,
树,238,,
双,,,
水,65,,
税,,,
睡,,,
顺,464,,
说,116,,
司,274,,
丝,,,
私,,,
思,298,,
斯,,,
死,,,
四,38,,
寺,407,,
似,,,
松,,,
送,333,,
苏,,,
诉,,,
俗,,,
素,,,
速,,,
宿,,,
酸,,,
算,,,
虽,,,
随,,,
岁,144,,
碎,,,
孙,,,
损,,,
缩,,,
所,,,
索,,,
锁,,,
他,104,,
它,,,
她,93,,
塔,,,
台,231,,
抬,,,
太,86,,
态,,,
谈,196,,
弹,,,
坦,,,
探,,,
汤,,,
唐,,,
堂,,,
糖,,,
躺,,,
逃,,,
讨,,,
套,,,
特,,,
疼,,,
踢,306,,
提,,,
题,353,,
体,150,,
替,,,
天,62,,
田,45,,
甜,,,
填,,,
挑,,,
"条 ",282,,
跳,433,,
贴,,,
铁,291,,
厅,,,
"听 ",248,,
庭,,,
停,,,
挺,,,
通,290,,
同,128,,
铜,,,
童,,,
统,,,
痛,,,
偷,,,
头,36,,
投,,,
透,,,
突,,,
图,,,
徒,,,
途,,,
土,65,,
团,,,
推,,,
腿,,,
退,,,
托,,,
拖,,,
脱,,,
挖,,,
瓦,,,
外,170,,
湾,,,
完,360,,
玩,248,,
晚,323,,
碗,,,
万,360,,
亡,,,
王,65,,
网,248,,
往,,,
忘,,,
望,,,
危,,,
威,,,
微,,,
为,209,,
违,,,
围,,,
唯,,,
维,,,
伟,,,
伪,,,
尾,,,
委,,,
卫,177,,
未,,,
位,273,,
味,,,
谓,,,
喂,,,
温,394,,
文,73,,
闻,,,
蚊,,,
稳,,,
问,,,
我,74,,
卧,,,
握,,,
污,,,
屋,,,
无,,,
五,38,,
午,523,,
伍,,,
武,,,
舞,433,,
勿,,,
务,,,
物,331,,
"误 ",,,
西,203,,
吸,,,
希,,,
析,,,
息,370,,
习,230,,
席,,,
袭,,,
洗,,,
喜,247,,
戏,,,
系,394,,
细,,,
虾,,,
"下 ",65,,
吓,,,
夏,406,,
仙,,,
先,96,,
鲜,,,
"闲 ",,,
咸,,,
显,,,
险,,,
县,,,
现,323,,
限,,,
线,,,
宪,,,
陷,,,
献,,,
乡,,,
相,273,,
香,91,,
箱,172,,
详,,,
享,,,
响,,,
想,172,,
向,,,
项,,,
巷,,,
象,422,,
像,422,,
消,,,
销,,,
小,73,,
孝,,,
校,266,,
笑,,,
效,,,
些,,,
协,,,
鞋,,,
写,296,,
械,,,
谢,171,,
心,171,,
辛,,,
欣,,,
新,234,,
信,283,,
兴,208,,
星,219,,
行,150,,
刑,,,
形,,,
型,,,
醒,,,
幸,,,
性,,,
姓,202,,
兄,143,,
雄,,,
熊,359,,
休,370,,
修,,,
秀,,,
袖,,,
须,,,
需,,,
许,,,
序,,,
续,,,
宣,,,
旋,,,
选,448,,
削,,,
学,37,,
雪,432,,
血,,,
旬,,,
寻,,,
询,,,
训,,,
讯,,,
迅,,,
压,,,
呀,,,
鸭,,,
牙,415,,
雅,,,
亚,,,
烟,,,
延,,,
严,,,
言,283,,
炎,,,
沿,,,
研,,,
盐,,,
颜,,,
眼,160,,
演,,,
宴,,,
验,,,
"央 ",,,
羊,43,,
扬,,,
阳,129,,
洋,,,
养,,,
样,160,,
要,209,,
邀,,,
谣,,,
药,,,
钥,,,
爷,143,,
也,74,,
野,,,
业,231,,
叶,,,
页,353,,
夜,,,
液,,,
一,38,,
伊,,,
衣,67,,
医,365,,
依,,,
仪,,,
宜,,,
移,,,
遗,,,
疑,,,
乙,,,
已,353,,
以,297,,
椅,,,
亿,369,,
义,,,
艺,369,,
忆,,,
议,,,
亦,,,
异,,,
译,455,,
易,449,,
益,,,
谊,,,
意,298,,
因,209,,
阴,129,,
音,248,,
姻,,,
银,265,,
引,,,
饮,,,
印,,,
应,,,
英,171,,
迎,,,
营,,,
赢,,,
影,247,,
映,,,
硬,,,
拥,,,
泳,433,,
永,433,,
勇,,,
用,74,,
优,,,
忧,,,
尤,,,
由,455,,
邮,,,
油,,,
"游 ",432,,
友,103,,
有,103,,
又,74,,
右,220,,
幼,,,
于,,,
予,,,
余,434,,
鱼,73,,
愉,,,
与,,,
雨,65,,
语,273,,
玉,170,,
育,,,
预,,,
域,,,
遇,,,
欲,,,
"寓 ",,,
愈,,,
元,114,,
园,238,,
员,265,,
原,,,
圆,,,
援,,,
源,,,
远,219,,
怨,,,
院,266,,
愿,,,
约,370,,
月,45,,
越,,,
阅,,,
云,65,,
允,,,
运,306,,
扎,,,
杂,,,
灾,,,
载,,,
在,116,,
再,238,,
咱,,,
暂,,,
赞,,,
脏,,,
遭,,,
"早 ",96,,
澡,,,
造,,,
则,,,
责,,,
择,448,,
怎,290,,
增,,,
炸,,,
展,,,
占,,,
战,,,
站,343,,
章,,,
张,273,,
掌,,,
丈,,,
帐,,,
障,,,
招,,,
着,,,
找,237,,
召,,,
照,,,
折,,,
哲,,,
者,264,,
这,149,,
针,,,
真,,,
诊,,,
阵,,,
振,,,
震,,,
镇,,,
争,,,
征,,,
整,,,
正,237,,
证,,,
症,,,
政,,,
之,,,
支,,,
"只 ",120,,
汁,113,,
枝,,,
知,219,,
织,,,
执,,,
直,,,
值,,,
职,265,,
植,,,
殖,,,
止,,,
址,282,,
纸,,,
指,,,
至,352,,
志,,,
制,,,
质,,,
治,,,
致,,,
智,,,
置,,,
中,73,,
终,,,
忠,,,
钟,323,,
种,414,,
众,,,
州,,,
周,324,,
洲,,,
猪,,,
竹,65,,
逐,,,
主,203,,
助,,,
住,203,,
注,,,
驻,,,
祝,456,,
著,,,
筑,,,
抓,,,
专,230,,
转,,,
庄,,,
装,,,
壮,,,
状,,,
追,,,
准,,,
桌,,,
资,,,
子,43,,
仔,,,
自,237,,
字,202,,
宗,,,
综,,,
总,443,,
走,208,,
奏,,,
租,421,,
足,306,,
族,387,,
阻,,,
组,,,
祖,,,
钻,,,
嘴,,,
最,307,,
罪,,,
醉,,,
尊,,,
昨,324,,
左,220,,
作,264,,
坐,291,,
座,,,
做,264,,
娜,203,*,
羽,455,*,
厢,279,*,
禾,45,*,
弓,271,*,
陈,448,*,
棵,238,*,
